主要區域 Broad Area,小規劃統計區 TPU,2019,2020,2021,2022,2023,2024,2025
香港島 Hong Kong Island,111,58700,57400,56800,56300,55700,55400,54600
香港島 Hong Kong Island,112,51900,51900,52500,52700,51700,51300,50600
香港島 Hong Kong Island,113,24700,24100,23900,23600,23200,23100,22600
香港島 Hong Kong Island,114,8400,8400,8500,8500,8400,8400,8300
香港島 Hong Kong Island,115,1900,1800,1800,1800,1700,1700,1700
香港島 Hong Kong Island,116,13800,13400,13200,13000,12700,12500,12300
香港島 Hong Kong Island,"121, 123 & 124",2500,2300,2300,2300,2200,2200,2100
香港島 Hong Kong Island,122,5900,5800,5700,5600,5600,5800,5800
香港島 Hong Kong Island,131,31400,30700,30600,30200,29600,29300,28800
香港島 Hong Kong Island,132,16800,16400,16200,16100,15800,15700,15400
香港島 Hong Kong Island,133,10900,10700,10600,10500,10200,10100,9900
香港島 Hong Kong Island,134,1300,1200,1200,1200,1100,1100,1100
香港島 Hong Kong Island,135,1100,1000,1000,1000,1000,1000,1000
香港島 Hong Kong Island,140,7500,7300,7300,7300,7100,7000,6900
香港島 Hong Kong Island,141,19700,19300,19300,19000,18500,18300,17900
香港島 Hong Kong Island,142,40900,39900,40100,40000,39200,38700,37900
香港島 Hong Kong Island,143,10900,10700,10700,10600,10400,10200,10000
香港島 Hong Kong Island,144,34500,33500,33100,32600,32000,31700,31200
香港島 Hong Kong Island,145,13700,13200,13000,12800,12500,12300,12000
香港島 Hong Kong Island,146 & 147,17500,17100,16900,16700,16300,16100,15800
香港島 Hong Kong Island,148,9500,9300,9300,9200,9000,8900,8800
香港島 Hong Kong Island,149,8500,8200,8000,7800,7600,7600,7500
香港島 Hong Kong Island,151,47800,47100,47100,46600,45500,44900,44000
香港島 Hong Kong Island,152,19700,19100,18900,18600,18100,17800,17400
香港島 Hong Kong Island,153,74500,73600,73700,73400,72000,72100,70700
香港島 Hong Kong Island,154,11200,11000,10900,10800,10700,10600,10400
香港島 Hong Kong Island,155,20400,20500,20700,20500,20100,19800,19600
香港島 Hong Kong Island,156 & 158,50200,48900,48400,47800,46800,46200,45400
香港島 Hong Kong Island,157,51900,50200,49800,49100,47900,47300,46400
香港島 Hong Kong Island,161,85800,85400,86000,85500,84400,84000,83000
香港島 Hong Kong Island,162,19300,18800,18600,18400,17900,17700,17300
香港島 Hong Kong Island,163,39200,38800,40900,40700,40500,40300,40100
香港島 Hong Kong Island,164 & 165,58500,57800,58000,58000,59900,59800,59500
香港島 Hong Kong Island,166,37900,37400,37600,37600,37400,37300,37100
香港島 Hong Kong Island,167,55800,55300,55100,54900,54500,54200,53800
香港島 Hong Kong Island,171,22100,21500,21400,21200,20800,20600,20200
香港島 Hong Kong Island,172,56100,55600,55600,55400,55000,54700,54300
香港島 Hong Kong Island,173,58500,58200,58400,58100,57500,57100,56700
香港島 Hong Kong Island,174,83800,82300,82300,82200,81600,81400,80800
香港島 Hong Kong Island,175 & 176,12500,12600,12600,12700,15100,17400,19300
香港島 Hong Kong Island,181 & 182,4200,4100,4100,4100,4100,4000,3900
香港島 Hong Kong Island,183 & 184,4900,4600,4600,4500,4400,4400,4200
香港島 Hong Kong Island,"190, 192 & 194",12700,12300,12300,12200,11900,11800,11600
香港島 Hong Kong Island,191,4700,4700,4700,4700,4600,4500,4500
香港島 Hong Kong Island,"193, 195 & 198",15300,14800,15000,14900,14900,14900,14700
香港島 Hong Kong Island,196,4800,4600,4600,4600,4500,4400,4400
香港島 Hong Kong Island,197,2100,2100,2100,2100,2000,2000,2000
九龍 Kowloon,211,15300,14900,14800,14600,14300,14100,13900
九龍 Kowloon,212,17400,16600,16700,16500,16200,16000,15900
九龍 Kowloon,"213, 215 & 216",14800,14300,14200,14000,13600,13400,13100
九龍 Kowloon,214,4500,4300,4300,4300,4200,4100,4100
九龍 Kowloon,217,3300,3700,4300,4800,5400,5800,6100
九龍 Kowloon,220,1100,1100,1100,1100,1100,1100,1000
九龍 Kowloon,221,85500,84700,84200,84600,84100,83700,82600
九龍 Kowloon,222,22200,21700,21400,21100,20600,20400,20000
九龍 Kowloon,225,45800,44300,44000,43400,42500,41900,41200
九龍 Kowloon,226,11300,11100,10900,10700,10500,10300,10100
九龍 Kowloon,227,19400,19000,18800,18600,18300,18200,18000
九龍 Kowloon,228,14900,14600,14400,14200,13900,13800,13600
九龍 Kowloon,229,16800,16500,16200,15900,15800,16000,16000
九龍 Kowloon,231,6000,5800,5900,5900,5900,5800,5700
九龍 Kowloon,232,4600,4400,4400,4600,5000,5200,5100
九龍 Kowloon,233,3200,3200,3300,3300,3200,3100,3100
九龍 Kowloon,234,13500,13300,13800,14100,13900,13700,13500
九龍 Kowloon,235,17600,17300,17500,17500,17500,17500,17300
九龍 Kowloon,236,29700,29200,29100,29700,30500,32100,32700
九龍 Kowloon,237,19900,21700,21700,21600,21800,21700,21500
九龍 Kowloon,241,44800,44600,44600,44100,43300,42800,43500
九龍 Kowloon,242,51500,50300,50000,49500,48500,47700,46800
